## ==== necessary ====
## .map file, put your maps in /map folder
map_file=warehouse_medium.map

## number of agents
agents=24

## ==== custom =======
## seed of randomization
seed=1

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=false

## timestep limit
max_timestep=512

## computation time limit, ms
max_comp_time=5000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0
# 3,1,3,0
start: (43, 15)
goal: (13, 27)
start: (2, 17)
goal: (27, 11)
start: (40, 14)
goal: (36, 27)
start: (43, 23)
goal: (7, 1)
start: (2, 27)
goal: (18, 19)
start: (41, 17)
goal: (36, 15)
start: (43, 22)
goal: (20, 21)
start: (41, 9)
goal: (35, 9)
start: (1, 19)
goal: (38, 21)
start: (41, 26)
goal: (25, 21)
start: (4, 15)
goal: (8, 13)
start: (4, 22)
goal: (13, 11)
start: (4, 25)
goal: (24, 23)
start: (1, 1)
goal: (12, 19)
start: (44, 29)
goal: (21, 25)
start: (40, 19)
goal: (14, 13)
start: (5, 13)
goal: (11, 29)
start: (41, 11)
goal: (35, 9)
start: (1, 13)
goal: (32, 27)
start: (41, 21)
goal: (30, 17)
start: (43, 1)
goal: (24, 23)
